chr	start_gene	end_gene	strand_gene	gene_name	ensembl_id	gene_type
chr1	155169408	155173475	-	KRTCAP2	ENSG00000163463	protein_coding
chr14	48398310	48399375	+	ENSG00000258750	ENSG00000258750	processed_pseudogene
chr22	24594811	24629005	+	GGT1	ENSG00000100031	protein_coding
chr19	2236824	2248655	+	SF3A2	ENSG00000104897	protein_coding
chr19	52222225	52231294	-	ENSG00000268015	ENSG00000268015	lncRNA
chr7	100875103	100888664	+	SRRT	ENSG00000087087	protein_coding
chr16	28592055	28623363	-	ENSG00000288656	ENSG00000288656	lncRNA
chr1	13555001	13555694	+	BRWD1P1	ENSG00000215909	processed_pseudogene
chr2	27032910	27041694	+	TMEM214	ENSG00000119777	protein_coding
chr9	134054290	134058805	+	ENSG00000235138	ENSG00000235138	lncRNA
chr7	100130964	100140439	+	ENSG00000235077	ENSG00000235077	lncRNA
chr21	13679300	13681138	-	ENSG00000279773	ENSG00000279773	TEC
chrX	22527835	22527941	+	RNU6-266P	ENSG00000201095	snRNA
chr5	55054428	55055140	+	ENSG00000251376	ENSG00000251376	lncRNA
chr15	84398316	84411701	-	ENSG00000290690	ENSG00000290690	lncRNA
chr5	173973779	174006140	+	C5orf47	ENSG00000185056	protein_coding
chr7	74280747	74289307	-	ENSG00000287815	ENSG00000287815	lncRNA
chrX	70133447	70166324	+	IGBP1	ENSG00000089289	protein_coding
chr20	2816302	2820284	+	TMEM239	ENSG00000198326	protein_coding
chr2	11308025	11308941	+	AIDAP1	ENSG00000230154	processed_pseudogene
chr17	67457023	67457290	-	RN7SL756P	ENSG00000244610	misc_RNA
chr22	45502238	45601135	+	FBLN1	ENSG00000077942	protein_coding
chr21	42062959	42143453	+	UMODL1	ENSG00000177398	protein_coding
chr19	45178784	45216933	+	BLOC1S3	ENSG00000189114	protein_coding
chr14	100657250	100676069	+	LINC00523	ENSG00000196273	lncRNA
chr10	26789017	26789157	+	ENSG00000223027	ENSG00000223027	snoRNA
chr18	67137611	67137751	-	RPL31P9	ENSG00000264054	processed_pseudogene
chr2	206821190	206822294	-	ENSG00000260171	ENSG00000260171	lncRNA
chr4	164597719	164597976	+	ENSG00000251162	ENSG00000251162	processed_pseudogene
chr14	30622291	30737694	+	SCFD1	ENSG00000092108	protein_coding
chr14	32329298	32837684	+	AKAP6	ENSG00000151320	protein_coding
chr11	65117157	65117458	+	ENSG00000255173	ENSG00000255173	lncRNA
chr16	11273199	11273629	-	PRM3	ENSG00000178257	protein_coding
chr4	144687750	144689048	+	ENSG00000289314	ENSG00000289314	lncRNA
chr3	9792495	9807101	+	ARPC4	ENSG00000241553	protein_coding
chr2	147495438	147495540	-	RNU6-715P	ENSG00000202074	snRNA
chrX	134142228	134142340	-	Y_RNA	ENSG00000200572	misc_RNA
chr6	70216040	70303084	-	COL9A1	ENSG00000112280	protein_coding
chr2	84926019	84966685	+	ENSG00000287625	ENSG00000287625	lncRNA
chr1	13163914	13165631	-	HNRNPCL4	ENSG00000179412	protein_coding
chr1	228735479	228746664	+	RHOU	ENSG00000116574	protein_coding
chr1	40364766	40365183	+	ENSG00000213172	ENSG00000213172	processed_pseudogene
chr20	34475924	34476474	-	FDX1P1	ENSG00000181741	processed_pseudogene
chr2	240079433	240080362	+	OR9S24P	ENSG00000231278	unprocessed_pseudogene
chr3	132558142	132722459	-	NPHP3-ACAD11	ENSG00000274810	protein_coding
chr8	54247633	54247906	+	ENSG00000253840	ENSG00000253840	processed_pseudogene
chr17	30248203	30292056	-	BLMH	ENSG00000108578	protein_coding
chr19	42133445	42133513	-	MIR4323	ENSG00000266226	miRNA
chr14	20999255	21001871	+	SLC39A2	ENSG00000165794	protein_coding
chr13	98871742	98872005	+	ENSG00000275919	ENSG00000275919	processed_pseudogene
chr12	75257635	75258634	-	CCNG2P1	ENSG00000258112	processed_pseudogene
chr3	48625723	48635493	-	SLC26A6	ENSG00000225697	protein_coding
chr10	86958599	86963258	+	SNCG	ENSG00000173267	protein_coding
chr6	146171315	146171847	+	FUNDC2P3	ENSG00000187103	processed_pseudogene
chr17	2072823	2072956	+	ENSG00000280333	ENSG00000280333	TEC
chr14	81471547	81533853	-	SEL1L	ENSG00000071537	protein_coding
chr11	43328748	43359296	-	ENSG00000254907	ENSG00000254907	lncRNA
chr20	57168753	57266641	-	BMP7	ENSG00000101144	protein_coding
chr2	123065321	123067722	+	ENSG00000237856	ENSG00000237856	lncRNA
chr11	10399192	10399317	-	RNU6ATAC33P	ENSG00000221574	snRNA
chr9	77635203	77635309	-	RNU6-1303P	ENSG00000201711	snRNA
chr4	106433489	106453449	+	LINC02173	ENSG00000249613	lncRNA
chr1	175877343	175880468	+	LINC01657	ENSG00000224718	lncRNA
chr17	50508425	50531501	+	MYCBPAP	ENSG00000136449	protein_coding
chr3	169794962	169796213	+	ENSG00000270096	ENSG00000270096	lncRNA
chr1	216503246	217137755	-	ESRRG	ENSG00000196482	protein_coding
chr6	25732433	25737513	+	ENSG00000291193	ENSG00000291193	lncRNA
chr11	87329407	87330052	-	PSMA2P1	ENSG00000254582	processed_pseudogene
chr18	12670426	12671145	-	ENSG00000267249	ENSG00000267249	lncRNA
chr14	52286797	52289268	+	ENSG00000261208	ENSG00000261208	processed_pseudogene
chr11	90118391	90118461	+	ENSG00000207299	ENSG00000207299	snoRNA
chr12	102836889	102958410	-	PAH	ENSG00000171759	protein_coding
chr16	35022851	35024250	-	ENSG00000261566	ENSG00000261566	lncRNA
chr20	17613678	17682295	-	RRBP1	ENSG00000125844	protein_coding
chr2	229894346	229894453	+	RNU6-613P	ENSG00000222344	snRNA
chr1	95310928	95318263	-	LINC01760	ENSG00000228504	lncRNA
chr10	50623466	50641451	+	SGMS1-AS1	ENSG00000226200	lncRNA
chr2	230690065	230700529	-	LINC01907	ENSG00000226125	lncRNA
chr1	44721786	44721902	-	RNU5F-1	ENSG00000199377	snRNA
chr1	206470476	206496889	+	IKBKE	ENSG00000263528	protein_coding
chr2	222298147	222305217	+	CCDC140	ENSG00000163081	lncRNA
chr4	146180851	146181316	+	ENSG00000279845	ENSG00000279845	TEC
chr2	222698623	222699484	-	ENSG00000203531	ENSG00000203531	processed_pseudogene
chr11	56176618	56177556	+	OR5J2	ENSG00000174957	protein_coding
chr1	2013213	2015639	-	ENSG00000233542	ENSG00000233542	lncRNA
chr21	42733594	42741758	-	PDE9A-AS1	ENSG00000225731	lncRNA
chr6	35023522	35023831	+	HSPE1P11	ENSG00000187762	processed_pseudogene
chr2	88978468	88979081	-	IGKV3-7	ENSG00000243063	IG_V_gene
chr5	157579497	157579599	+	RNU6-390P	ENSG00000252068	snRNA
chr6	138402585	138403560	-	MARCKSL1P2	ENSG00000215878	processed_pseudogene
chr10	43420738	43422100	+	LINC02916	ENSG00000230555	lncRNA
chr2	127170011	127170231	+	NIFKP9	ENSG00000237630	processed_pseudogene
chr13	36674020	36697839	+	SERTM1	ENSG00000180440	protein_coding
chr10	79628757	79632188	-	LINC02679	ENSG00000226676	lncRNA
chrX	10156975	10237660	+	CLCN4	ENSG00000073464	protein_coding
chr22	19941371	19969975	+	COMT	ENSG00000093010	protein_coding
chrX	102599168	102604159	+	ARMCX5	ENSG00000125962	protein_coding
chr16	46578591	46621379	-	SHCBP1	ENSG00000171241	protein_coding
chr18	44732575	44733315	+	ENSG00000280365	ENSG00000280365	TEC
chr12	55283750	55284641	+	OR6C72P	ENSG00000205331	unprocessed_pseudogene
chr5	76948791	76948870	+	RNU6ATAC36P	ENSG00000252684	snRNA
chr6	106738948	106739054	-	RNU6-117P	ENSG00000202285	snRNA
chr8	143838779	143840256	+	ENSG00000285599	ENSG00000285599	lncRNA
chrX	135846497	135854538	-	CT45A8	ENSG00000278085	protein_coding
chr12	104455295	104762014	+	CHST11	ENSG00000171310	protein_coding
chr9	98229149	98229217	-	MIR6854	ENSG00000278412	miRNA
chr2	203061314	203062403	-	ENSG00000228513	ENSG00000228513	processed_pseudogene
chr9	33166948	33182865	+	B4GALT1-AS1	ENSG00000233554	lncRNA
chr9	41578903	41579186	+	RN7SL565P	ENSG00000276562	misc_RNA
chr11	118527472	118531197	+	TTC36	ENSG00000172425	protein_coding
chr17	20716483	20737127	+	ENSG00000226521	ENSG00000226521	transcribed_unprocessed_pseudogene
chr22	25756318	25756669	-	ENSG00000278960	ENSG00000278960	lncRNA
chr3	10759350	10764209	-	LINC00606	ENSG00000226567	lncRNA
chr4	10078611	10078692	-	MIR3138	ENSG00000264931	miRNA
chr5	133387773	133388549	+	ENSG00000250409	ENSG00000250409	lncRNA
chr1	43705824	43931165	+	ST3GAL3	ENSG00000126091	protein_coding
chr13	30103178	30108895	-	LINC00365	ENSG00000224511	lncRNA
chr1	149782671	149791675	+	FCGR1A	ENSG00000150337	protein_coding
chr18	21612314	21633524	+	SNRPD1	ENSG00000167088	protein_coding
chr6	30742757	30743638	+	IER3-AS1	ENSG00000272273	lncRNA
chr6	168820423	168820656	+	ENSG00000280665	ENSG00000280665	TEC
chr12	126510910	126511711	-	ENSG00000255853	ENSG00000255853	processed_pseudogene
chr14	73644875	73703732	+	DNAL1	ENSG00000119661	protein_coding
chr6	125219962	125302078	-	HDDC2	ENSG00000111906	protein_coding
chr15	25250859	25250940	+	SNORD115-44	ENSG00000202261	snoRNA
chr17	19560111	19597922	-	ENSG00000262769	ENSG00000262769	lncRNA
chr12	114621761	114622922	+	ENSG00000258254	ENSG00000258254	lncRNA
chr1	108857217	108858524	+	SPATA42	ENSG00000203897	lncRNA
chr22	20689929	20698938	+	POM121L4P	ENSG00000217261	transcribed_unprocessed_pseudogene
chr4	33400538	33400679	+	ENSG00000249766	ENSG00000249766	processed_pseudogene
chr8	92351912	92352148	-	ENSG00000253118	ENSG00000253118	processed_pseudogene
chr10	46578217	46594173	+	SYT15	ENSG00000204176	protein_coding
chr11	70862790	70865115	+	SHANK2-AS3	ENSG00000171671	lncRNA
chr9	41700682	41701096	+	ENSG00000278001	ENSG00000278001	processed_pseudogene
chr11	9578028	9578131	+	ENSG00000238387	ENSG00000238387	snoRNA
chr7	150800403	150805118	+	TMEM176A	ENSG00000002933	protein_coding
chr19	19757951	19774809	+	ENSG00000287533	ENSG00000287533	lncRNA
chr2	45005182	45009452	-	SIX2	ENSG00000170577	protein_coding
chr10	72216000	72235860	+	ANAPC16	ENSG00000166295	protein_coding
chr2	38073447	38231651	+	CYP1B1-AS1	ENSG00000232973	lncRNA
chr7	135660039	135660647	+	RPL15P11	ENSG00000223718	processed_pseudogene
chr4	116754453	116921792	+	ENSG00000286637	ENSG00000286637	lncRNA
chr18	10525905	10552764	+	NAPG	ENSG00000134265	protein_coding
chr4	63465511	63529761	-	ENSG00000250775	ENSG00000250775	lncRNA
chr11	58978787	58994120	+	GLYATL1P1	ENSG00000255189	unprocessed_pseudogene
chr1	247607126	247607201	-	U6	ENSG00000283369	snRNA
chr11	65561484	65561607	+	ENSG00000279093	ENSG00000279093	TEC
chr18	60371062	60372775	-	MC4R	ENSG00000166603	protein_coding
chr5	148923639	149063163	-	SH3TC2	ENSG00000169247	protein_coding
chr3	40313802	40453329	-	ENTPD3-AS1	ENSG00000223797	lncRNA
chr8	50762460	50762798	-	CYCSP22	ENSG00000254358	processed_pseudogene
chr7	152609313	152609434	+	ENSG00000212590	ENSG00000212590	snoRNA
chr7	35971147	35971567	-	PPP1R14BP4	ENSG00000270889	processed_pseudogene
chr16	86192793	86198913	-	ENSG00000268505	ENSG00000268505	lncRNA
chr2	94791103	94857282	-	ANKRD20A8P	ENSG00000229089	transcribed_unprocessed_pseudogene
chr8	41803349	41803450	+	Y_RNA	ENSG00000207101	misc_RNA
chr1	159289714	159308224	+	FCER1A	ENSG00000179639	protein_coding
chr13	109310135	109311773	+	LINC01067	ENSG00000236053	lncRNA
chr12	110434823	110450422	-	ARPC3	ENSG00000111229	protein_coding
chrX	74133004	74133114	-	DDX3P2	ENSG00000230986	processed_pseudogene
chr1	211442274	211442806	+	ARPC3P2	ENSG00000238137	processed_pseudogene
chr8	27311482	27459391	+	PTK2B	ENSG00000120899	protein_coding
chr12	128793194	128823958	-	SLC15A4	ENSG00000139370	protein_coding
chr1	100038095	100083377	+	MFSD14A	ENSG00000156875	protein_coding
chr19	53333749	53356906	+	ZNF845	ENSG00000213799	protein_coding
chr18	45669367	45747215	-	ENSG00000288545	ENSG00000288545	lncRNA
chr7	144300395	144356181	-	OR2A1-AS1	ENSG00000244479	lncRNA
chrX	70672895	70673515	-	ENSG00000230187	ENSG00000230187	processed_pseudogene
chr16	35722268	35722529	-	ENSG00000260522	ENSG00000260522	processed_pseudogene
chr13	104814327	104815069	+	RPL7P45	ENSG00000225823	processed_pseudogene
chr2	241010045	241010744	-	ENSG00000229996	ENSG00000229996	lncRNA
chrX	11117651	11665920	-	ARHGAP6	ENSG00000047648	protein_coding
chr15	93837611	93852981	-	ENSG00000259123	ENSG00000259123	lncRNA
chr15	78921058	78949574	-	CTSH	ENSG00000103811	protein_coding
chr2	176177717	176179009	+	HAGLROS	ENSG00000226363	lncRNA
chr6	27814302	27814777	-	H2AC14	ENSG00000276368	protein_coding
chr19	18144522	18151691	-	MAST3-AS1	ENSG00000269145	lncRNA
chr13	26094724	26154175	-	ATP8A2P3	ENSG00000233963	unprocessed_pseudogene
chr13	60012734	60044357	+	DIAPH3-AS1	ENSG00000227528	lncRNA
chr9	137084946	137086817	-	MAN1B1-DT	ENSG00000268996	lncRNA
chr16	75245994	75250077	-	ENSG00000280152	ENSG00000280152	TEC
chr1	45010950	45015575	+	UROD	ENSG00000126088	protein_coding
chr1	3652516	3736201	+	TP73	ENSG00000078900	protein_coding
chr1	121008362	121008507	-	U1	ENSG00000273516	snRNA
chr5	141373891	141512975	+	PCDHGA6	ENSG00000253731	protein_coding
chr5	54075518	54075583	-	ENSG00000265421	ENSG00000265421	miRNA
chr4	55540502	55540835	-	RN7SKP30	ENSG00000223305	misc_RNA
chr6	31530219	31546608	-	ATP6V1G2-DDX39B	ENSG00000254870	protein_coding
chr4	3576869	3590711	+	LINC00955	ENSG00000216560	lncRNA
chr17	43875357	43909711	-	MPP2	ENSG00000108852	protein_coding
chr14	105640168	105640232	+	MIR8071-2	ENSG00000277030	miRNA
chr20	31563166	31564076	+	HM13-IT1	ENSG00000235313	lncRNA
chr5	104383298	105392970	-	ENSG00000251574	ENSG00000251574	lncRNA
chr7	57014285	57020273	-	SLC29A4P1	ENSG00000214668	unprocessed_pseudogene
chr14	22508602	22508658	+	TRAJ33	ENSG00000211856	TR_J_gene
chr9	104270228	104286955	+	TOPORSLP	ENSG00000242111	transcribed_unitary_pseudogene
chrX	77967949	77969638	-	PGAM4	ENSG00000226784	protein_coding
chr1	40493157	40508661	-	EXO5-DT	ENSG00000238287	lncRNA
chr16	71464555	71565089	-	ZNF19	ENSG00000157429	protein_coding
chr9	92141298	92160114	+	ENSG00000290644	ENSG00000290644	lncRNA
chr1	18839599	18859660	-	TAS1R2	ENSG00000179002	protein_coding
chr13	91398621	92873682	+	GPC5	ENSG00000179399	protein_coding
chr12	68841946	68842384	+	ENSG00000256664	ENSG00000256664	processed_pseudogene
chr11	69155478	69162440	+	SMIM38	ENSG00000284713	protein_coding
chr1	147172755	147295734	+	ENSG00000237188	ENSG00000237188	lncRNA
chr3	163455568	163479500	+	ENSG00000240792	ENSG00000240792	lncRNA
chr1	46532166	46543969	-	TMEM275	ENSG00000282881	protein_coding
chr15	41283958	41322392	+	OIP5-AS1	ENSG00000247556	lncRNA
chr1	203494153	203508949	+	OPTC	ENSG00000188770	protein_coding
chr19	22286441	22317176	+	ZNF729	ENSG00000196350	protein_coding
chr8	101275425	101280835	-	ENSG00000287479	ENSG00000287479	lncRNA
chr3	36380503	36548007	+	STAC	ENSG00000144681	protein_coding
chr2	202617284	202617627	+	MTND3P17	ENSG00000233134	unprocessed_pseudogene
chr16	67482571	67483547	-	AGRP	ENSG00000159723	protein_coding
chr17	13932720	13940594	-	ENSG00000233852	ENSG00000233852	lncRNA
chr22	25448080	25520856	+	CRYBB2P1	ENSG00000291087	lncRNA
chr2	29681027	29681323	-	RN7SL516P	ENSG00000242699	misc_RNA
chr8	23678697	23682938	-	NKX3-1	ENSG00000167034	protein_coding
chr7	99598267	99611045	+	TMEM225B	ENSG00000244219	protein_coding
chr16	85815873	85816536	-	ENSG00000214259	ENSG00000214259	processed_pseudogene
chr12	106524	111850	-	ENSG00000256948	ENSG00000256948	lncRNA
chr10	110936622	110937233	-	RPL13AP6	ENSG00000234118	processed_pseudogene
chr9	96385941	96418370	-	ZNF367	ENSG00000165244	protein_coding
chr6	92631066	92633268	-	ENSG00000288101	ENSG00000288101	lncRNA
chr19	50797687	50804929	-	C19orf48P	ENSG00000167747	transcribed_unitary_pseudogene
chrX	41292798	41292916	+	RNA5SP502	ENSG00000199564	rRNA_pseudogene
chr1	62597520	62606313	+	ANGPTL3	ENSG00000132855	protein_coding
chr16	46622861	46624451	-	ENSG00000261512	ENSG00000261512	lncRNA
chr6	149246095	149255415	+	ENSG00000283608	ENSG00000283608	lncRNA
chr15	75636139	75639239	+	ENSG00000260206	ENSG00000260206	lncRNA
chr10	62804720	62808479	+	ADO	ENSG00000181915	protein_coding
chr17	48995266	48997492	-	ENSG00000250838	ENSG00000250838	lncRNA
chr8	42949388	42949495	-	Y_RNA	ENSG00000202514	misc_RNA
chr10	118004916	118046941	-	RAB11FIP2	ENSG00000107560	protein_coding
chr17	57912333	57922581	+	ENSG00000264914	ENSG00000264914	lncRNA
chr1	173477330	173488815	+	PRDX6	ENSG00000117592	protein_coding
chr9	14586766	14587326	-	ENSG00000273399	ENSG00000273399	lncRNA
chr10	30403197	30403776	-	CCND3P1	ENSG00000224473	processed_pseudogene
chrX	131204068	131205010	+	OR11Q1P	ENSG00000237650	unprocessed_pseudogene
chr7	44785050	44787340	-	ENSG00000228596	ENSG00000228596	lncRNA
chr13	72460519	72460601	-	ENSG00000251715	ENSG00000251715	snoRNA
chr15	40133768	40135214	-	ENSG00000259239	ENSG00000259239	processed_pseudogene
chr17	29855759	29856332	+	RPL9P30	ENSG00000240074	processed_pseudogene
chr3	143313067	143314429	-	ENSG00000240888	ENSG00000240888	lncRNA
chr6	43803193	43842625	+	ENSG00000283573	ENSG00000283573	lncRNA
chrX	105405647	105407039	+	KCTD9P2	ENSG00000181819	processed_pseudogene
chr6	149963943	149973715	+	ULBP1	ENSG00000111981	protein_coding
chr6	151196681	151197638	-	ENSG00000231883	ENSG00000231883	lncRNA
